NUMBER,OWNER,TICKER,CUSIP6,CNAME
2,A WHITNEY BOWER,NRAC,G6546R,NOBLE ROCK ACQUISITION CORP
3,AALAEI FARAJ,AQ,03842Q,AQUANTIA CORP
4,AALAEI FARAJOLLAH,CTLM,152319,CENTILLIUM COMMUNICATIONS INC
5,AAMIR MIR,QUOT,749119,QUOTIENT TECHNOLOGY INC
7,AARON GEORGE,CAPI,14066K,CAPRIUS INC
8,AARON R STEVE,-,45820M,INTEGRITY FINANCIAL CORP
10,AARONSON JEFFREY B,DYXC,252838,DIASYS CORP
11,ABAI MAJID,MBIT,60743A,MOBILEBITS HOLDINGS CORP
12,ABAJIAN BERGE,BRGO,084080,BERGIO INTERNATIONAL INC
13,ABATE CHRISTOPHER J,RWT,758075,REDWOOD TRUST INC
14,ABBASI SAMI S,-,75040K,RADIOLOGIX INC
15,ABBASI SOHAIB,INFA,45666Q,INFORMATICA CORP
16,ABBATE ANTHONY S,-,458447,INTERCHANGE FINANCIAL SERVICES
17,ABBATE SALVATORE A,VRTV,923454,VERITIV CORP
18,ABBEY JEFFREY D,ARGS,040221,ARGOS THERAPEUTICS INC
19,ABBOTT EARL W,TOGI,89108P,TORNADO GOLD INTERNATIONAL COR
20,ABBOTT JOHN C,MEET,585141,MEETME INC
21,ABBOTT WILLIAM J,CRWN,228411,CROWN MEDIA HOLDINGS INC
22,ABCOUWER JAMES KEVIN,TENG,89323B,TRANS ENERGY INC
23,ABD GEORGE A,SEH,847220,SPARTECH CORP
24,ABDALLAH KAMAL,UPDA,91379U,PROCOREGROUP INC
25,ABDALLAH NORMAN J,DFRG,245077,DEL FRISCO S RESTAURANT GROUP
26,ABDELMONEM AMR,ISO,46426P,ISCO INTERNATIONAL INC
27,ABDI BEHROOZ L,INVN,46123D,INVENSENSE INC
28,ABDOO RICHARD A,WEC,92939U,WEC ENERGY GROUP INC
29,ABDOU SHERIF,PIII,744413,P3 HEALTH PARTNERS INC
30,ABDUL JALIL MAZNAH,LIBY,53118A,LIBERTY RESOURCES ACQUISITION
31,ABDULA FRED,NSFC,665751,NORTHERN STATES FINANCIAL CORP
32,ABDUN NABI DANIEL J,EBS,29089Q,EMERGENT BIOSOLUTIONS INC
34,ABEL DAVID,TTRX,88165C,TETRAGENEX PHARMACEUTICALS INC
35,ABEL DOUGLAS,MHAN,563118,MANHATTAN PHARMACEUTICALS INC
36,ABEL ROGER L,CYNS,23256H,TOUCHSTONE RESOURCES USA INC
37,ABELIOVICH ASA,PRVL,74140Y,PREVAIL THERAPEUTICS INC
38,ABELY JOSEPH F,LOJN,539451,LOJACK CORP
39,ABENANTE ROBERT,BLXX,095226,BLOX INC
40,ABERCROMBIE GEORGE B,BBI,10802T,BRICKELL BIOTECH INC
41,ABERMAN ZALMAN,PSTI,72940R,PLURISTEM THERAPEUTICS INC
43,ABERNATHY ROBERT E,HYH,40650V,HALYARD HEALTH INC
44,ABNEY DAVID P,UPS,911312,UNITED PARCEL SERVICE INC
45,ABOOD THOMAS J,EVOA,26928L,EVO TRANSPORTATION & ENERGY SE
46,ABRAHAM CHAD R,PJC,724078,PIPER JAFFRAY COMPANIES
47,ABRAHAM KYE A,LKAI,501882,LKA GOLD INC
48,ABRAHAM MAGID M,SCOR,20564W,COMSCORE INC
49,ABRAM J ADAM,JRVR,470359,JAMES RIVER GROUP INC
50,ABRAMO GUY P,HRT,433537,HIRERIGHT HOLDINGS CORP
51,ABRAMOV JACK,HOTJ,44176R,HOUSE OF TAYLOR JEWELRY INC
52,ABRAMOWITZ PAUL,NPWZ,63948P,NEAH POWER SYSTEMS INC NV
53,ABRAMS ALAN RALPH,SERV,81765M,SERVIDYNE INC
54,ABRAMS HOWARD E,JVEX,471905,JAVA EXPRESS INC
55,ABRAMS LEIGH J,DW,26168L,DREW INDUSTRIES INC
56,ABRAMS ROBIN ANN,ZILG,989524,ZILOG INC
57,ABRAMSON STEVEN V,PANL,91347P,UNIVERSAL DISPLAY CORP PA
58,ABRAO EDUARDO G,NOVN,670009,NOVEN PHARMACEUTICALS INC
59,ABRUZZO CLOYD J,SHLO,824543,SHILOH INDUSTRIES INC
60,ABSHER SCOTT W,PIXY,82452L,SHIFTPIXY INC
61,ABSTON TYSON TODD,GNTY,400764,GUARANTY BANCSHARES INC
62,ABU GHAZALEH MOHAMMAD,FDP,G36738,FRESH DEL MONTE PRODUCE INC
63,ABU HAKIMA IHAB,MERU,59047Q,MERU NETWORKS INC
65,ABUHOFF JACK S,INOD,457642,INNODATA ISOGEN INC
66,ABULABAN MAJDI B,SUP,868168,SUPERIOR INDUSTRIES INTERNATIO
67,ACCORDINO DANIEL T,TAST,14574X,CARROLS RESTAURANT GROUP INC
68,ACH ROGER W II,GMSI,36466T,GAMES INC
69,ACHKARIAN HRAIR,GROV,399807,GROVEWARE TECHNOLOGIES LTD
70,ACKERMAN F DUANE,-,079860,BELLSOUTH CORP
71,ACKERMAN JAMES J,OPTV,G67543,OPENTV CORP
72,ACKERMAN JOEL,CSBR,15870P,CHAMPIONS ONCOLOGY INC
73,ACKERMAN PHILIP C,NFG,636180,NATIONAL FUEL GAS CO
74,ACKERMAN RICHARD S,BRPA,089482,BIG ROCK PARTNERS ACQUISITION
75,ACKERMAN SAMUEL K,PANC,69811Q,PANACOS PHARMACEUTICALS INC NE
76,ACKMANN STEVEN C,-,31609R,FIDELITY D & D BANCORP INC
77,ACOCA BERNARD,LOCO,268603,EL POLLO LOCO HOLDINGS INC
78,ACTON TIMOTHY B,IGRU,45956C,INTERNATIONAL GOLD RESOURCES I
80,ACUNTO JOHN P JR,ASPR,00737M,ADSOUTH PARTNERS INC
81,ADAIR AARON JAYSON,CPRT,217204,COPART INC
82,ADAIR JOHN W,EGYH,292693,ENERGY HOLDINGS INTERNATIONAL
83,ADAIR WILLIAM C JR,-,25456W,DIRECT GENERAL CORP
84,ADAMCZYK DARIUS,HON,438516,HONEYWELL INTERNATIONAL INC
85,ADAMS ADRIAN,-,500648,KOS PHARMACEUTICALS INC
86,ADAMS BARNEY H,-,006228,ADAMS GOLF INC
87,ADAMS DARYL M,SPAR,846819,SPARTAN MOTORS INC
88,ADAMS DAVID CHARLES,CW,231561,CURTISS WRIGHT CORP
89,ADAMS DIANA N,AMBC,023139,AMBAC FINANCIAL GROUP INC
90,ADAMS EDWARD S,-,63935R,NAVIGANT INTERNATIONAL INC
