CNAME,CNUM
"CARNIVAL CORP","C148332165"
"RESTORATION HARDWARE INC","R441595000"
"WM WRIGLEY JR CO","W819000000"
"NCR CORP","N416250000"
"SHERWIN WILLIAMS CO","S332100000"
"HOST HOTELS & RESORTS INC","H783580281"
"ALPHABET INC","A346258125"
"BIOGEN INC","B495265312"
"GRAY TELEVISION INC","G685971804"
"MARKEL CORP NEW","M180100000"
"BEAR STEARNS COS INC","B261700000"
"NORFOLK SOUTHERN CORP","N705500000"
"CINERGY CORP","C365770000"
"INTERNATIONAL BANCSHARES CORP","I500250000"
"HARTE HANKS INC","H225431500"
"KENNAMETAL INC","K324000000"
"ANSYS INC","A693109500"
"TAUBMAN CENTERS INC","T080975000"
"CITIGROUP INC","C376315000"
"ALTRIA GROUP INC","A359638312"
"SOUTHERN CO","S510300000"
"WHOLE FOODS MARKET INC","W624705000"
"HARLEY DAVIDSON INC","H182300000"
"EXXON MOBIL CORP","E979944250"
"SCHLUMBERGER LTD","S116100000"
"SYMANTEC CORP","S904010000"
"TIFFANY & CO","T512000000"
"QUEST DIAGNOSTICS INC","Q226750000"
"WERNER ENTERPRISES INC","W339500000"
"JUNIPER NETWORKS INC","J965000000"
"STEEL DYNAMICS INC","S738975000"
"HUMANA INC","H896775000"
"SCOTTS MIRACLE GRO CO","S161097001"
"EBAY INC","E170150000"
"NORDSTROM INC","N703125000"
"NIKE INC","N650900000"
"SEATTLE GENETICS INC","S205506000"
"FOOT LOCKER INC","F729168750"
"ANHEUSER BUSCH COS INC","A683500000"
"HILLSHIRE BRANDS CO","H557087062"
"PRAXAIR INC","P677975000"
"CHEVRON CORP","C320599008"
"COSTCO WHOLESALE CORP NEW","C999780159"
"TIMBERLAND CO","T519428000"
"DILLARD S INC","D590600000"
"CHENIERE ENERGY INC","C307785000"
"ROHM & HAAS CO","R745500000"
"LA Z BOY INC","L036877500"
"RAYTHEON CO NEW","R192150000"
"URBAN OUTFITTERS INC","U929270000"
"ECOLLEGE COM","E203318500"
"CERNER CORP","C240370000"
"FIFTH THIRD BANCORP","F309825000"
"REGIS CORP","R311692500"
"AUTODESK INC","A926200000"
"VERIZON COMMUNICATIONS INC","V461806812"
"KELLOGG CO","K288000000"
"LIBERTY GLOBAL PLC","L532406343"
"FOSSIL INC","F767565010"
"J2 GLOBAL INC","J454327692"
"APPLE INC","A714301250"
"SANMINA CORP NEW","S064692071"
"REYNOLDS AMERICAN INC","R503430010"
"AUTOMATIC DATA PROCESSING INC","A939000000"
"AETNA INC PA","A145242500"
"BANK OF NEW YORK MELLON CORP","B999780080"
"HOSPIRA INC","H766759375"
"S&P GLOBAL INC","M322831250"
"APACHE CORP","A999800504"
"ELI LILLY & CO","E560000000"
"DOLLAR TREE INC","D724731562"
"QUANTUM CORP","Q140000000"
"BON TON STORES INC","B601010000"
"PAYCHEX INC","P239150000"
"UNITED PARCEL SERVICE INC","U999780084"
"AFFYMETRIX INC","A155407700"
"STRYKER CORP","S809494000"
"CMS ENERGY CORP","C429276600"
"KRONOS WORLDWIDE INC","K950289062"
"CLEAN HARBORS INC","C408110000"
"BE AEROSPACE INC","B254242000"
"ADVANCE AUTO PARTS INC","A121267994"
"PRUDENTIAL FINANCIAL INC","P846975000"
"ARCHIPELAGO HOLDINGS INC","A738895234"
"H & R BLOCK INC","H004400000"
"MICROSOFT CORP","M529390000"
"ACTAVIS INC","A079832187"
"OPSWARE INC","O650992812"
"BRUNSWICK CORP","B835200000"
"CATERPILLAR INC","C177711000"
"ABERCROMBIE & FITCH CO DE","A035025000"
"DUKE ENERGY CORP DE","D878637513"
"GENERAL DYNAMICS CORP","G185300000"
"VERTEX PHARMACEUTICALS INC","V495410000"
"YUM BRANDS INC","Y531250000"
"CLAYTON WILLIAMS ENERGY INC","C407010000"
"CME GROUP INC","C427165698"
"EQUITY ONE INC","E784376750"
"WHIRLPOOL CORP","W564000000"
"ABIOMED INC","A041603000"
"CUMULUS MEDIA INC","C999790104"
"SELECT COMFORT CORP","S243471000"
"PROVIDENCE SERVICE CORP","P828100006"
"MEADWESTVACO CORP","M342150000"
"UNITEDHEALTH GROUP INC","U766475000"
"CDW CORP","C190373500"
"KIMBERLY CLARK CORP","K600000000"
"SOUTHERN UNION CO","S535950000"
"VECTOR GROUP LTD","V376512500"
"BB&T CORP","B252262500"
"ELECTRONIC DATA SYSTEMS CORP","E492500000"
"POLYCOM INC","P611332500"
