CNAME:,UNITEDHEALTH GROUP INC
Google Trends Search Term:,unitedhealth group
Google Trends Suggestion:,insurance company
Google Trends URL:,/m/060jqm
Year,Month,SVI Data
2004,Jan,21
2004,Feb,19
2004,Mar,16
2004,Apr,20
2004,May,20
2004,Jun,23
2004,Jul,22
2004,Aug,24
2004,Sep,21
2004,Oct,23
2004,Nov,24
2004,Dec,19
2005,Jan,23
2005,Feb,21
2005,Mar,21
2005,Apr,21
2005,May,23
2005,Jun,26
2005,Jul,26
2005,Aug,23
2005,Sep,24
2005,Oct,26
2005,Nov,30
2005,Dec,26
2006,Jan,29
2006,Feb,25
2006,Mar,25
2006,Apr,26
2006,May,27
2006,Jun,28
2006,Jul,24
2006,Aug,27
2006,Sep,27
2006,Oct,33
2006,Nov,31
2006,Dec,27
2007,Jan,34
2007,Feb,29
2007,Mar,28
2007,Apr,28
2007,May,28
2007,Jun,29
2007,Jul,30
2007,Aug,30
2007,Sep,29
2007,Oct,32
2007,Nov,31
2007,Dec,26
2008,Jan,34
2008,Feb,32
2008,Mar,30
2008,Apr,29
2008,May,27
2008,Jun,30
2008,Jul,30
2008,Aug,27
2008,Sep,27
2008,Oct,32
2008,Nov,28
2008,Dec,28
2009,Jan,36
2009,Feb,31
2009,Mar,30
2009,Apr,29
2009,May,29
2009,Jun,31
2009,Jul,33
2009,Aug,34
2009,Sep,32
2009,Oct,34
2009,Nov,32
2009,Dec,30
2010,Jan,34
2010,Feb,31
2010,Mar,33
2010,Apr,32
2010,May,29
2010,Jun,32
2010,Jul,29
2010,Aug,30
2010,Sep,29
2010,Oct,32
2010,Nov,30
2010,Dec,29
2011,Jan,33
2011,Feb,31
2011,Mar,30
2011,Apr,30
2011,May,30
2011,Jun,33
2011,Jul,31
2011,Aug,33
2011,Sep,31
2011,Oct,35
2011,Nov,32
2011,Dec,27
2012,Jan,33
2012,Feb,30
2012,Mar,28
2012,Apr,29
2012,May,28
2012,Jun,30
2012,Jul,31
2012,Aug,34
2012,Sep,30
2012,Oct,38
2012,Nov,36
2012,Dec,29
2013,Jan,42
2013,Feb,35
2013,Mar,37
2013,Apr,39
2013,May,35
2013,Jun,36
2013,Jul,41
2013,Aug,41
2013,Sep,40
2013,Oct,49
2013,Nov,46
2013,Dec,36
2014,Jan,45
2014,Feb,39
2014,Mar,40
2014,Apr,38
2014,May,38
2014,Jun,38
2014,Jul,42
2014,Aug,37
2014,Sep,41
2014,Oct,49
2014,Nov,47
2014,Dec,45
2015,Jan,53
2015,Feb,49
2015,Mar,55
2015,Apr,51
2015,May,43
2015,Jun,51
2015,Jul,52
2015,Aug,49
2015,Sep,52
2015,Oct,61
2015,Nov,64
2015,Dec,61
2016,Jan,55
2016,Feb,52
2016,Mar,49
2016,Apr,48
2016,May,50
2016,Jun,53
2016,Jul,47
2016,Aug,52
2016,Sep,48
2016,Oct,57
2016,Nov,57
2016,Dec,50
2017,Jan,60
2017,Feb,54
2017,Mar,52
2017,Apr,47
2017,May,52
2017,Jun,53
2017,Jul,51
2017,Aug,54
2017,Sep,49
2017,Oct,61
2017,Nov,61
2017,Dec,51
2018,Jan,62
2018,Feb,59
2018,Mar,55
2018,Apr,54
2018,May,51
2018,Jun,53
2018,Jul,55
2018,Aug,59
2018,Sep,54
2018,Oct,67
2018,Nov,65
2018,Dec,55
2019,Jan,69
2019,Feb,61
2019,Mar,60
2019,Apr,61
2019,May,62
2019,Jun,66
2019,Jul,73
2019,Aug,70
2019,Sep,69
2019,Oct,83
2019,Nov,77
2019,Dec,68
2020,Jan,84
2020,Feb,76
2020,Mar,64
2020,Apr,51
2020,May,51
2020,Jun,66
2020,Jul,70
2020,Aug,67
2020,Sep,70
2020,Oct,82
2020,Nov,72
2020,Dec,69
2021,Jan,75
2021,Feb,72
2021,Mar,71
2021,Apr,73
2021,May,67
2021,Jun,77
2021,Jul,76
2021,Aug,77
2021,Sep,83
2021,Oct,89
2021,Nov,94
2021,Dec,85
2022,Jan,100
2022,Feb,91
2022,Mar,96
